# shot coordinate, geophone coordinate, first break time
shotx,geox,tt
0,5,0.013920
0,6,0.016570
0,7,0.019470
0,8,0.021640
0,9,0.022840
0,10,0.023800
0,11,0.024290
0,12,0.024770
0,13,0.025490
0,14,0.025730
0,15,0.025970
0,16,0.026460
0,17,0.026940
0,18,0.027660
0,19,0.027660
0,20,0.028390
0,21,0.028140
0,22,0.029110
0,23,0.029830
0,24,0.029830
0,25,0.029830
0,26,0.030310
0,27,0.030800
0,28,0.032240
0,29,0.033210
0,30,0.033450
0,31,0.033690
0,32,0.034410
0,33,0.034410
0,34,0.035860
0,35,0.035620
0,36,0.036580
0,37,0.037060
0,38,0.036820
0,39,0.037060
0,41,0.038270
0,42,0.038510
0,43,0.038750
0,44,0.039230
0,45,0.039480
0,46,0.039480
0,47,0.039230
0,48,0.039480
0,49,0.039230
0,50,0.038990
0,51,0.038990
0,52,0.039350
